years,months,days,price
2011,ENERO,1,67.0228
2011,ENERO,2,60.1125
2011,ENERO,3,82.8127
2011,ENERO,4,84.3938
2011,ENERO,5,79.1728
2011,ENERO,6,87.2324
2011,ENERO,7,72.2246
2011,ENERO,8,80.5062
2011,ENERO,9,66.7674
2011,ENERO,10,66.1381
2011,ENERO,11,72.2337
2011,ENERO,12,66.8578
2011,ENERO,13,61.3152
2011,ENERO,14,64.6272
2011,ENERO,15,59.5972
2011,ENERO,16,79.0704
2011,ENERO,17,89.7749
2011,ENERO,18,100.6202
2011,ENERO,19,102.2588
2011,ENERO,20,99.3783
2011,ENERO,21,94.1226
2011,ENERO,22,94.8238
2011,ENERO,23,99.9622
2011,ENERO,24,122.6754
2011,ENERO,25,125.4118
2011,ENERO,26,128.0300
2011,ENERO,27,122.1952
2011,ENERO,28,122.5593
2011,ENERO,29,109.3571
2011,ENERO,30,106.2780
2011,ENERO,31,106.0538
2011,FEBRERO,1,123.8017
2011,FEBRERO,2,120.3111
2011,FEBRERO,3,130.1435
2011,FEBRERO,4,128.6575
2011,FEBRERO,5,114.7832
2011,FEBRERO,6,113.8920
2011,FEBRERO,7,113.1416
2011,FEBRERO,8,111.5787
2011,FEBRERO,9,109.5512
2011,FEBRERO,10,107.8581
2011,FEBRERO,11,106.0095
2011,FEBRERO,12,107.6299
2011,FEBRERO,13,106.0904
2011,FEBRERO,14,105.2409
2011,FEBRERO,15,103.7075
2011,FEBRERO,16,93.6273
2011,FEBRERO,17,91.3890
2011,FEBRERO,18,103.0764
2011,FEBRERO,19,91.5619
2011,FEBRERO,20,92.6912
2011,FEBRERO,21,96.9185
2011,FEBRERO,22,98.9458
2011,FEBRERO,23,95.5970
2011,FEBRERO,24,99.2682
2011,FEBRERO,25,103.8223
2011,FEBRERO,26,95.1879
2011,FEBRERO,27,97.7117
2011,FEBRERO,28,96.9689
2011,MARZO,1,89.0565
2011,MARZO,2,88.2568
2011,MARZO,3,92.2611
2011,MARZO,4,85.0595
2011,MARZO,5,80.9298
2011,MARZO,6,81.0845
2011,MARZO,7,89.3891
2011,MARZO,8,89.1227
2011,MARZO,9,85.1977
2011,MARZO,10,83.2231
2011,MARZO,11,79.5079
2011,MARZO,12,77.8308
2011,MARZO,13,81.8916
2011,MARZO,14,86.9564
2011,MARZO,15,86.8122
2011,MARZO,16,87.7120
2011,MARZO,17,85.3756
2011,MARZO,18,78.6655
2011,MARZO,19,76.2337
2011,MARZO,20,77.9982
2011,MARZO,21,84.2079
2011,MARZO,22,98.5586
2011,MARZO,23,79.5895
2011,MARZO,24,70.0440
2011,MARZO,25,66.1174
2011,MARZO,26,57.6414
2011,MARZO,27,46.2278
2011,MARZO,28,69.2996
2011,MARZO,29,67.3253
2011,MARZO,30,70.2146
2011,MARZO,31,79.7368
2011,ABRIL,1,85.1307
2011,ABRIL,2,84.1983
2011,ABRIL,3,79.9473
2011,ABRIL,4,90.8040
2011,ABRIL,5,94.0991
2011,ABRIL,6,111.8028
2011,ABRIL,7,113.9314
2011,ABRIL,8,111.5938
2011,ABRIL,9,111.5487
2011,ABRIL,10,104.1466
2011,ABRIL,11,104.9480
2011,ABRIL,12,97.4629
2011,ABRIL,13,82.1136
2011,ABRIL,14,72.3264
2011,ABRIL,15,64.5823
2011,ABRIL,16,41.8279
2011,ABRIL,17,37.4939
2011,ABRIL,18,55.7366
2011,ABRIL,19,61.6105
2011,ABRIL,20,54.2092
2011,ABRIL,21,40.5948
2011,ABRIL,22,36.1169
2011,ABRIL,23,35.3567
2011,ABRIL,24,38.6379
2011,ABRIL,25,63.1009
2011,ABRIL,26,64.8593
2011,ABRIL,27,67.8844
2011,ABRIL,28,65.5018
2011,ABRIL,29,65.6838
2011,ABRIL,30,65.2399
2011,MAYO,1,49.3394
2011,MAYO,2,59.4977
2011,MAYO,3,49.8949
2011,MAYO,4,65.1644
2011,MAYO,5,64.7029
2011,MAYO,6,64.3490
2011,MAYO,7,59.0543
2011,MAYO,8,40.5779
2011,MAYO,9,60.0129
2011,MAYO,10,70.8089
2011,MAYO,11,73.6997
2011,MAYO,12,74.4940
2011,MAYO,13,70.5729
2011,MAYO,14,66.9360
2011,MAYO,15,45.3495
2011,MAYO,16,63.9580
2011,MAYO,17,62.7245
2011,MAYO,18,58.7578
2011,MAYO,19,61.8650
2011,MAYO,20,61.6552
2011,MAYO,21,58.0674
2011,MAYO,22,46.8669
2011,MAYO,23,59.4646
2011,MAYO,24,58.4639
2011,MAYO,25,53.5274
2011,MAYO,26,58.4377
2011,MAYO,27,60.1434
2011,MAYO,28,43.2372
2011,MAYO,29,38.7978
2011,MAYO,30,64.7610
2011,MAYO,31,48.0297
2011,JUNIO,1,56.1297
2011,JUNIO,2,59.2829
2011,JUNIO,3,50.9946
2011,JUNIO,4,39.1538
2011,JUNIO,5,37.7506
2011,JUNIO,6,49.9511
2011,JUNIO,7,66.1937
2011,JUNIO,8,71.4553
2011,JUNIO,9,72.0393
2011,JUNIO,10,65.9390
2011,JUNIO,11,62.7094
2011,JUNIO,12,60.4428
2011,JUNIO,13,78.6404
2011,JUNIO,14,74.8101
2011,JUNIO,15,71.9572
2011,JUNIO,16,76.1260
2011,JUNIO,17,74.3611
2011,JUNIO,18,62.7518
2011,JUNIO,19,41.1108
2011,JUNIO,20,60.7312
2011,JUNIO,21,64.4550
2011,JUNIO,22,72.4670
2011,JUNIO,23,68.0115
2011,JUNIO,24,61.9524
2011,JUNIO,25,54.9462
2011,JUNIO,26,43.9323
2011,JUNIO,27,40.9341
2011,JUNIO,28,63.9389
2011,JUNIO,29,56.4123
2011,JUNIO,30,42.2687
2011,JULIO,1,41.7426
2011,JULIO,2,40.9641
2011,JULIO,3,38.5908
2011,JULIO,4,43.2307
2011,JULIO,5,43.0043
2011,JULIO,6,47.1328
2011,JULIO,7,47.4238
2011,JULIO,8,51.1251
2011,JULIO,9,43.9648
2011,JULIO,10,52.1448
2011,JULIO,11,51.0635
2011,JULIO,12,72.6847
2011,JULIO,13,71.2170
2011,JULIO,14,70.6721
2011,JULIO,15,73.0202
2011,JULIO,16,62.4173
2011,JULIO,17,57.2325
2011,JULIO,18,65.2051
2011,JULIO,19,62.1214
2011,JULIO,20,51.6566
2011,JULIO,21,64.5869
2011,JULIO,22,66.7044
2011,JULIO,23,70.9785
2011,JULIO,24,47.6834
2011,JULIO,25,55.9871
2011,JULIO,26,58.3761
2011,JULIO,27,65.5708
2011,JULIO,28,61.4403
2011,JULIO,29,56.3649
2011,JULIO,30,48.3900
2011,JULIO,31,38.2331
2011,AGOSTO,1,64.0613
2011,AGOSTO,2,78.5490
2011,AGOSTO,3,76.4186
2011,AGOSTO,4,72.6694
2011,AGOSTO,5,72.0208
2011,AGOSTO,6,81.8559
2011,AGOSTO,7,88.3249
2011,AGOSTO,8,116.6647
2011,AGOSTO,9,110.9025
2011,AGOSTO,10,108.8430
2011,AGOSTO,11,101.6883
2011,AGOSTO,12,115.5603
2011,AGOSTO,13,114.4871
2011,AGOSTO,14,92.3525
2011,AGOSTO,15,96.0564
2011,AGOSTO,16,115.1180
2011,AGOSTO,17,99.4779
2011,AGOSTO,18,86.8933
2011,AGOSTO,19,65.7933
2011,AGOSTO,20,84.2836
2011,AGOSTO,21,64.9425
2011,AGOSTO,22,79.5278
2011,AGOSTO,23,85.8621
